,SEASON_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
0,22019,1610612756,PHX,Phoenix Suns,0021900678,2020-01-24,PHX @ SAS,W,241,103,39,84,0.464,8,29,0.276,17,21,0.81,10,32,42,25,6,4,13,27,4.0
1,22019,1610612756,PHX,Phoenix Suns,0021900664,2020-01-22,PHX vs. IND,L,241,87,30,84,0.357,4,20,0.2,23,26,0.885,9,35,44,13,7,3,13,20,-25.0
2,22019,1610612756,PHX,Phoenix Suns,0021900650,2020-01-20,PHX vs. SAS,L,240,118,42,80,0.525,8,22,0.364,26,30,0.867,8,35,43,26,3,3,14,19,-2.0
3,22019,1610612756,PHX,Phoenix Suns,0021900628,2020-01-18,PHX @ BOS,W,239,123,42,89,0.472,13,31,0.419,26,30,0.867,10,42,52,27,6,6,15,16,4.0
4,22019,1610612756,PHX,Phoenix Suns,0021900614,2020-01-16,PHX @ NYK,W,239,121,47,92,0.511,12,30,0.4,15,18,0.833,14,39,53,31,11,4,19,22,23.0
5,22019,1610612756,PHX,Phoenix Suns,0021900598,2020-01-14,PHX @ ATL,L,242,110,40,87,0.46,4,20,0.2,26,32,0.813,10,30,40,20,9,6,11,19,-13.0
6,22019,1610612756,PHX,Phoenix Suns,0021900590,2020-01-12,PHX vs. CHA,W,240,100,41,82,0.5,7,21,0.333,11,18,0.611,12,39,51,22,8,5,18,19,8.0
7,22019,1610612756,PHX,Phoenix Suns,0021900573,2020-01-10,PHX vs. ORL,W,240,98,33,79,0.418,9,28,0.321,23,26,0.885,9,35,44,19,10,8,14,21,4.0
8,22019,1610612756,PHX,Phoenix Suns,0021900552,2020-01-07,PHX vs. SAC,L,239,103,37,77,0.481,11,35,0.314,18,22,0.818,6,35,41,24,4,2,17,25,-11.0
9,22019,1610612756,PHX,Phoenix Suns,0021900537,2020-01-05,PHX vs. MEM,L,239,114,43,95,0.453,6,26,0.231,22,26,0.846,12,34,46,25,7,4,10,19,-7.0
10,22019,1610612756,PHX,Phoenix Suns,0021900521,2020-01-03,PHX vs. NYK,W,240,120,42,90,0.467,10,28,0.357,26,33,0.788,9,39,48,28,7,3,10,25,8.0
11,22019,1610612756,PHX,Phoenix Suns,0021900507,2020-01-01,PHX @ LAL,L,240,107,42,86,0.488,6,23,0.261,17,23,0.739,11,36,47,32,7,3,14,28,-10.0
12,22019,1610612756,PHX,Phoenix Suns,0021900496,2019-12-30,PHX @ POR,W,240,122,44,92,0.478,13,23,0.565,21,22,0.955,10,34,44,29,6,4,9,17,6.0
13,22019,1610612756,PHX,Phoenix Suns,0021900483,2019-12-28,PHX @ SAC,W,241,112,45,86,0.523,9,26,0.346,13,15,0.867,7,33,40,30,10,2,13,21,2.0
14,22019,1610612756,PHX,Phoenix Suns,0021900471,2019-12-27,PHX @ GSW,L,240,96,35,75,0.467,7,33,0.212,19,24,0.792,11,38,49,22,6,1,26,21,-9.0
15,22019,1610612756,PHX,Phoenix Suns,0021900451,2019-12-23,PHX vs. DEN,L,240,111,42,87,0.483,13,37,0.351,14,18,0.778,9,29,38,29,10,0,17,19,-2.0
16,22019,1610612756,PHX,Phoenix Suns,0021900437,2019-12-21,PHX vs. HOU,L,241,125,47,91,0.516,8,28,0.286,23,30,0.767,10,31,41,26,5,1,8,18,-14.0
17,22019,1610612756,PHX,Phoenix Suns,0021900426,2019-12-20,PHX @ OKC,L,240,108,38,87,0.437,11,32,0.344,21,23,0.913,12,25,37,26,9,4,15,29,-18.0
18,22019,1610612756,PHX,Phoenix Suns,0021900406,2019-12-17,PHX @ LAC,L,241,99,41,102,0.402,10,35,0.286,7,10,0.7,16,34,50,30,11,3,19,23,-21.0
19,22019,1610612756,PHX,Phoenix Suns,0021900400,2019-12-16,PHX vs. POR,L,240,110,41,90,0.456,12,34,0.353,16,19,0.842,11,33,44,31,11,5,20,21,-1.0
20,22019,1610612756,PHX,Phoenix Suns,0021900380,2019-12-14,PHX vs. SAS,L,266,119,45,103,0.437,10,40,0.25,19,26,0.731,6,53,59,29,5,5,10,24,-2.0
21,22019,1610612756,PHX,Phoenix Suns,0021900363,2019-12-11,PHX vs. MEM,L,240,108,37,93,0.398,9,34,0.265,25,30,0.833,8,36,44,29,6,4,12,20,-7.0
22,22019,1610612756,PHX,Phoenix Suns,0021900349,2019-12-09,PHX vs. MIN,W,238,125,47,95,0.495,16,40,0.4,15,19,0.789,12,30,42,31,5,5,9,23,16.0
